2020-07-13T07:28:23.170Z | INFO | 2020-07-13.log | Server started on port 8080. | 
2020-07-13T07:29:09.068Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:29:09.104Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:29:09.647Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:29:09.656Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:29:28.829Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:29:28.842Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:29:28.990Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:29:28.996Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:49:19.365Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:49:19.382Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:49:21.415Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:49:21.422Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:49:35.227Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:49:35.249Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:49:35.945Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:49:35.951Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:50:11.583Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:50:11.606Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:50:12.186Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:50:12.196Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:50:38.236Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:50:38.263Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:50:38.577Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:50:38.584Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:52:02.828Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:52:02.860Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:52:03.170Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:52:03.179Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:53:20.560Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:53:20.574Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:53:20.766Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:53:20.782Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:57:46.637Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:57:46.653Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:57:46.983Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:57:47.015Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:59:08.990Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
2020-07-13T07:59:09.003Z | INFO | 2020-07-13.log | Categories fetched successfully | 
2020-07-13T07:59:09.269Z | INFO | 2020-07-13.log | Request recieved at /categories/ | 
