2020-07-21T05:23:13.463Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:24:22.530Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:24:22.545Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:24:22.818Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:24:22.823Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:26:09.603Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:26:09.664Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:26:09.813Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:26:09.825Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:28:15.457Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:28:15.496Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:28:15.786Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:28:15.798Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:57:44.043Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:57:44.101Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:57:44.472Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:57:44.478Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:59:50.584Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:59:50.618Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T05:59:51.147Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T05:59:51.157Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:00:43.275Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:00:43.287Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:00:43.581Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:00:43.586Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:08:50.583Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:08:50.601Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:08:50.892Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:08:50.897Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:09:19.744Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:09:19.795Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:09:20.161Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:09:20.166Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:11:46.396Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:11:46.443Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:11:46.728Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:11:46.736Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:13:40.761Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
2020-07-21T06:13:40.771Z | INFO | 2020-07-21.log | Categories fetched successfully | 
2020-07-21T06:13:41.346Z | INFO | 2020-07-21.log | Request recieved at /categories/ | 
